appId,month,count(id),avg(score),subcategory
br.com.flashapp,1,32,1.53125,Login
br.com.flashapp,1,1,1,Investiment
br.com.flashapp,1,1,3,Notifications
br.com.flashapp,1,1,2,Rewards program
br.com.flashapp,1,38,4.921052631578948,Usability
br.com.flashapp,1,8,2.5,Invoice
br.com.flashapp,1,30,2.2,Generic complaint
br.com.flashapp,1,17,1.7647058823529411,Card
br.com.flashapp,1,173,4.832369942196531,Generic compliment
br.com.flashapp,1,8,1,Registration
br.com.flashapp,1,11,1.7272727272727273,Customer service
br.com.flashapp,1,12,1.6666666666666667,Performance
br.com.flashapp,1,6,1,Update
br.com.flashapp,2,941,4.899043570669501,Generic compliment
br.com.flashapp,2,7,2.4285714285714284,Notifications
br.com.flashapp,2,15,1.7333333333333334,Registration
br.com.flashapp,2,10,3.1,Invoice
br.com.flashapp,2,153,4.895424836601308,Usability
br.com.flashapp,2,3,2,Virtual card
br.com.flashapp,2,150,1.4933333333333334,Login
br.com.flashapp,2,42,2.761904761904762,Customer service
br.com.flashapp,2,50,1.76,Card
br.com.flashapp,2,6,3.6666666666666665,Rewards program
br.com.flashapp,2,1,2,Token
br.com.flashapp,2,20,1.95,Update
br.com.flashapp,2,10,3.1,Investiment
br.com.flashapp,2,99,3.313131313131313,Generic complaint
br.com.flashapp,2,35,1.7142857142857142,Performance
br.com.flashapp,3,44,2.2954545454545454,Login
br.com.flashapp,3,1,1,Virtual card
br.com.flashapp,3,8,1.625,Performance
br.com.flashapp,3,4,1.5,Invoice
br.com.flashapp,3,5,2.2,Registration
br.com.flashapp,3,472,4.872881355932203,Generic compliment
br.com.flashapp,3,70,4.714285714285714,Usability
br.com.flashapp,3,45,3.8,Generic complaint
br.com.flashapp,3,1,5,Rewards program
br.com.flashapp,3,2,1,Notifications
br.com.flashapp,3,3,3.3333333333333335,Investiment
br.com.flashapp,3,11,2.4545454545454546,Update
br.com.flashapp,3,19,3.1578947368421053,Customer service
br.com.flashapp,3,30,2.7333333333333334,Card
br.com.flashapp,4,17,1.8823529411764706,Performance
br.com.flashapp,4,3,1,Update
br.com.flashapp,4,27,1.8888888888888888,Card
br.com.flashapp,4,265,4.8226415094339625,Generic compliment
br.com.flashapp,4,30,3.3333333333333335,Generic complaint
br.com.flashapp,4,4,2.25,Invoice
br.com.flashapp,4,38,4.973684210526316,Usability
br.com.flashapp,4,20,2.05,Login
br.com.flashapp,4,1,2,Rewards program
br.com.flashapp,4,10,1.8,Customer service
br.com.flashapp,4,3,1,Registration
br.com.flashapp,4,3,1.6666666666666667,Notifications
br.com.flashapp,5,1,1,Virtual card
br.com.flashapp,5,1,3,Token
br.com.flashapp,5,250,4.924,Generic compliment
br.com.flashapp,5,3,3,Investiment
br.com.flashapp,5,14,1.8571428571428572,Card
br.com.flashapp,5,38,1.868421052631579,Login
br.com.flashapp,5,38,2.4473684210526314,Generic complaint
br.com.flashapp,5,50,4.9,Usability
br.com.flashapp,5,10,3.4,Customer service
br.com.flashapp,5,19,2.9473684210526314,Update
br.com.flashapp,5,17,1.9411764705882353,Performance
br.com.flashapp,5,2,4.5,Rewards program
br.com.flashapp,5,1,3,Notifications
br.com.flashapp,5,3,3.6666666666666665,Invoice
br.com.flashapp,5,6,2.1666666666666665,Registration
br.com.flashapp,6,2,4.5,Token
br.com.flashapp,6,297,4.865319865319865,Generic compliment
br.com.flashapp,6,38,3.6578947368421053,Generic complaint
br.com.flashapp,6,2,3,Registration
br.com.flashapp,6,14,2.0714285714285716,Performance
br.com.flashapp,6,19,2.6842105263157894,Card
br.com.flashapp,6,1,5,Investiment
br.com.flashapp,6,1,1,Virtual card
br.com.flashapp,6,3,2.3333333333333335,Notifications
br.com.flashapp,6,4,4,Invoice
br.com.flashapp,6,10,2.9,Customer service
br.com.flashapp,6,13,1.7692307692307692,Update
br.com.flashapp,6,16,1.9375,Login
br.com.flashapp,6,38,4.7631578947368425,Usability
br.com.flashapp,7,310,4.84516129032258,Generic compliment
br.com.flashapp,7,10,2.1,Performance
br.com.flashapp,7,2,3,Rewards program
br.com.flashapp,7,11,1.4545454545454546,Login
